id,name,brand,type,price,processor,ram,storage,storageType,gpuCategory,gpuName,screenSizeRange,panelType,resolution,refreshRate,os,batteryLife,weightRange,ports,features,color,colorDisplay,condition
1,"MacBook Air 13""",Apple,Ultrabook,1099,Apple M3,8GB,256GB,SSD,Integrated,Apple M3 GPU,"13""–14""",IPS,QHD,60Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
2,"MacBook Air 13""",Apple,Ultrabook,1299,Apple M3,16GB,512GB,SSD,Integrated,Apple M3 GPU,"13""–14""",IPS,QHD,60Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Gray,Space Gray,New
3,"MacBook Air 15""",Apple,Ultrabook,1299,Apple M3,8GB,256GB,SSD,Integrated,Apple M3 GPU,"15""–16""",IPS,QHD,60Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
4,"MacBook Air 15""",Apple,Ultrabook,1499,Apple M3,16GB,512GB,SSD,Integrated,Apple M3 GPU,"15""–16""",IPS,QHD,60Hz,macOS,12hrs+,2–3 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Midnight,New
5,"MacBook Pro 14""",Apple,Business,1599,Apple M4,16GB,512GB,SSD,Integrated,Apple M4 GPU,"13""–14""",OLED,4K UHD,120Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Face Recognition|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
6,"MacBook Pro 14""",Apple,Workstation,1999,Apple M4,32GB,1TB,SSD,Integrated,Apple M4 Pro GPU,"13""–14""",OLED,4K UHD,120Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Face Recognition|Webcam|Bluetooth|Wi-Fi 6,Black,Space Black,New
7,"MacBook Pro 16""",Apple,Workstation,2499,Apple M4,16GB,512GB,SSD,Integrated,Apple M4 GPU,"15""–16""",OLED,4K UHD,120Hz,macOS,12hrs+,2–3 lbs,USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Face Recognition|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
8,"MacBook Pro 16""",Apple,Workstation,2999,Apple M4,32GB,1TB,SSD,Integrated,Apple M4 Pro GPU,"15""–16""",OLED,4K UHD,120Hz,macOS,12hrs+,2–3 lbs,USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Face Recognition|Webcam|Bluetooth|Wi-Fi 6,Black,Space Black,New
9,"MacBook Air 13""",Apple,Ultrabook,1299,Apple M4,16GB,512GB,SSD,Integrated,Apple M4 GPU,"13""–14""",IPS,QHD,60Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 7,Blue,Sky Blue,New
10,"MacBook Air 15""",Apple,Ultrabook,1499,Apple M4,16GB,512GB,SSD,Integrated,Apple M4 GPU,"15""–16""",IPS,QHD,60Hz,macOS,12hrs+,2–3 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 7,Silver,Starlight,New
